"data","dia.do.ano","t.media","t.max","t.min","chuva","ur","estacao"
2009-08-23,235,27.5760416666667,33.21,24.22,0,72.2858333333333,"Inverno"
2009-08-24,236,27.754375,32.42,23.3,0,70.314375,"Inverno"
2009-08-25,237,27.3858333333333,32.29,23.95,4.6,69.8679166666667,"Inverno"
2009-08-26,238,27.1733333333333,31.02,23.53,0.2,76.4035416666667,"Inverno"
2009-08-27,239,26.939375,31.34,23.42,0,76.8297916666667,"Inverno"
2009-08-28,240,25.5952083333333,31.04,22.59,34,80.5272916666667,"Inverno"
2009-08-29,241,26.5566666666667,31.75,22.92,0,74.0654166666667,"Inverno"
2009-08-30,242,26.683125,31.64,23.48,0.2,73.5022916666667,"Inverno"
2009-08-31,243,25.689375,33.37,22.44,7.2,81.330625,"Inverno"
2009-09-01,244,27.170625,31.82,22.69,0.2,74.0833333333333,"Inverno"
2009-09-02,245,29.0458333333333,33.65,23.99,0,62.4004166666667,"Inverno"
2009-09-03,246,29.33125,33.98,24.58,0,58.954375,"Inverno"
2009-09-04,247,29.474375,34.16,24.65,0,56.2397916666667,"Inverno"
2009-09-05,248,29.8220833333333,34.45,24.95,0,52.7366666666667,"Inverno"
2009-09-06,249,30.2929166666667,34.56,25.88,0,52.0727083333333,"Inverno"
2009-09-07,250,29.4472916666667,34.35,24.79,0,59.6527083333333,"Inverno"
2009-09-08,251,28.9697916666667,33.65,24.81,0,59.68,"Inverno"
2009-09-09,252,29.1589583333333,34.21,23.92,0,55.3385416666667,"Inverno"
2009-09-10,253,29.9047916666667,34.86,24.57,0,49.1529166666667,"Inverno"
2009-09-11,254,26.8116666666667,31.82,23.98,0.2,72.4464583333333,"Inverno"
2009-09-12,255,26.4547916666667,31.27,23.04,1.8,79.335625,"Inverno"
2009-09-13,256,25.5183333333333,30.84,23.35,0.2,85.549375,"Inverno"
2009-09-14,257,27.5120833333333,31.99,22.44,0.2,73.52375,"Inverno"
2009-09-15,258,26.966875,31.57,23.8,0.4,75.213125,"Inverno"
2009-09-16,259,28.3772916666667,32.96,23.32,0,69.6145833333333,"Inverno"
2009-09-17,260,28.519375,33.52,23.96,0,68.84125,"Inverno"
2009-09-18,261,25.9475,27.77,23.97,2,86.3208333333333,"Inverno"
2009-09-19,262,28.2525,32.77,24.84,0,72.3358333333333,"Inverno"
2009-09-20,263,27.973125,33.54,24.71,0.2,70.7697916666667,"Inverno"
2009-09-21,264,28.4766666666667,33.55,23.59,0,69.30625,"Inverno"
2009-09-22,265,28.9858333333333,33.3,24.19,0,58.7510416666667,"Inverno"
2009-09-23,266,29.271875,34.17,24.65,2,55.0539583333333,"Primavera"
2009-09-24,267,29.52125,34.51,24.34,0,58.4139583333333,"Primavera"
2009-09-25,268,28.4427083333333,34.07,24.27,0,65.4591666666667,"Primavera"
2009-09-26,269,28.0235416666667,34,24.18,0,66.6997916666667,"Primavera"
2009-09-27,270,26.0552083333333,33.1,22.57,0,78.0775,"Primavera"
2009-09-28,271,28.97625,33.74,23.26,0,61.0022916666667,"Primavera"
2009-09-29,272,30.1447916666667,35.01,25.49,0,48.9264583333333,"Primavera"
2009-09-30,273,29.4575,33.96,25.61,0,58.9170833333333,"Primavera"
2009-10-01,274,27.5847916666667,32.1,24.88,1,72.6970833333333,"Primavera"
2009-10-02,275,28.3210416666667,33.34,23.71,0,67.7020833333333,"Primavera"
2009-10-03,276,28.588125,34.6,22.31,0,67.0208333333333,"Primavera"
2009-10-04,277,29.6352083333333,34.85,24.56,0,59.3820833333333,"Primavera"
2009-10-05,278,30.3010416666667,36.06,24.65,0,60.3358333333333,"Primavera"
2009-10-06,279,30.505625,35.53,26.31,0,56.4485416666667,"Primavera"
2009-10-07,280,30.264375,34.81,25.76,0,55.5129166666667,"Primavera"
